full_date,date_id,day_of_week,day_name,month_number,month_name,quarter,year,is_weekend,fiscal_year
2020-01-01,20200101,3,Wednesday,1,January,1,2020,False,2020
2020-01-02,20200102,4,Thursday,1,January,1,2020,False,2020
2020-01-03,20200103,5,Friday,1,January,1,2020,False,2020
2020-01-04,20200104,6,Saturday,1,January,1,2020,True,2020
2020-01-05,20200105,7,Sunday,1,January,1,2020,True,2020
2020-01-06,20200106,1,Monday,1,January,1,2020,False,2020
2020-01-07,20200107,2,Tuesday,1,January,1,2020,False,2020
2020-01-08,20200108,3,Wednesday,1,January,1,2020,False,2020
2020-01-09,20200109,4,Thursday,1,January,1,2020,False,2020
2020-01-10,20200110,5,Friday,1,January,1,2020,False,2020
2020-01-11,20200111,6,Saturday,1,January,1,2020,True,2020
2020-01-12,20200112,7,Sunday,1,January,1,2020,True,2020
2020-01-13,20200113,1,Monday,1,January,1,2020,False,2020
2020-01-14,20200114,2,Tuesday,1,January,1,2020,False,2020
2020-01-15,20200115,3,Wednesday,1,January,1,2020,False,2020
2020-01-16,20200116,4,Thursday,1,January,1,2020,False,2020
2020-01-17,20200117,5,Friday,1,January,1,2020,False,2020
2020-01-18,20200118,6,Saturday,1,January,1,2020,True,2020
2020-01-19,20200119,7,Sunday,1,January,1,2020,True,2020
2020-01-20,20200120,1,Monday,1,January,1,2020,False,2020
2020-01-21,20200121,2,Tuesday,1,January,1,2020,False,2020
2020-01-22,20200122,3,Wednesday,1,January,1,2020,False,2020
2020-01-23,20200123,4,Thursday,1,January,1,2020,False,2020
2020-01-24,20200124,5,Friday,1,January,1,2020,False,2020
2020-01-25,20200125,6,Saturday,1,January,1,2020,True,2020
2020-01-26,20200126,7,Sunday,1,January,1,2020,True,2020
2020-01-27,20200127,1,Monday,1,January,1,2020,False,2020
2020-01-28,20200128,2,Tuesday,1,January,1,2020,False,2020
2020-01-29,20200129,3,Wednesday,1,January,1,2020,False,2020
2020-01-30,20200130,4,Thursday,1,January,1,2020,False,2020
2020-01-31,20200131,5,Friday,1,January,1,2020,False,2020
2020-02-01,20200201,6,Saturday,2,February,1,2020,True,2020
2020-02-02,20200202,7,Sunday,2,February,1,2020,True,2020
2020-02-03,20200203,1,Monday,2,February,1,2020,False,2020
2020-02-04,20200204,2,Tuesday,2,February,1,2020,False,2020
2020-02-05,20200205,3,Wednesday,2,February,1,2020,False,2020
2020-02-06,20200206,4,Thursday,2,February,1,2020,False,2020
2020-02-07,20200207,5,Friday,2,February,1,2020,False,2020
2020-02-08,20200208,6,Saturday,2,February,1,2020,True,2020
2020-02-09,20200209,7,Sunday,2,February,1,2020,True,2020
2020-02-10,20200210,1,Monday,2,February,1,2020,False,2020
2020-02-11,20200211,2,Tuesday,2,February,1,2020,False,2020
2020-02-12,20200212,3,Wednesday,2,February,1,2020,False,2020
2020-02-13,20200213,4,Thursday,2,February,1,2020,False,2020
2020-02-14,20200214,5,Friday,2,February,1,2020,False,2020
2020-02-15,20200215,6,Saturday,2,February,1,2020,True,2020
2020-02-16,20200216,7,Sunday,2,February,1,2020,True,2020
2020-02-17,20200217,1,Monday,2,February,1,2020,False,2020
2020-02-18,20200218,2,Tuesday,2,February,1,2020,False,2020
2020-02-19,20200219,3,Wednesday,2,February,1,2020,False,2020
