order_id,product,category,region,quantity,unit_price,order_date,status,revenue,year_month,etl_timestamp,etl_batch_id
ORD-00000,Monitor,Laptop,North,48,282.27,2024-04-24,completed,13548.96,2024-04,2026-03-26T12:09:59.830901,BATCH-20260326120959
ORD-00001,Monitor,Monitor,North,38,427.69,2024-01-16,completed,16252.22,2024-01,2026-03-26T12:09:59.830901,BATCH-20260326120959
ORD-00002,Mouse,Keyboard,North,36,206.84,2024-11-28,pending,7446.24,2024-11,2026-03-26T12:09:59.830901,BATCH-20260326120959
ORD-00003,Usb Hub,Mouse,South,29,593.36,2024-01-04,pending,17207.44,2024-01,2026-03-26T12:09:59.830901,BATCH-20260326120959
ORD-00004,Keyboard,Headset,West,22,285.08,2024-04-20,refunded,6271.76,2024-04,2026-03-26T12:09:59.830901,BATCH-20260326120959
ORD-00005,Webcam,Webcam,North,6,386.12,2024-07-02,pending,2316.72,2024-07,2026-03-26T12:09:59.830901,BATCH-20260326120959
ORD-00006,Tablet,USB,East,3,732.42,2024-10-01,completed,2197.26,2024-10,2026-03-26T12:09:59.830901,BATCH-20260326120959
ORD-00007,Usb Hub,Desk,North,36,300.24,2024-11-17,completed,10808.64,2024-11,2026-03-26T12:09:59.830901,BATCH-20260326120959
ORD-00008,Webcam,Speaker,South,46,78.85,2024-12-04,completed,3627.1,2024-12,2026-03-26T12:09:59.830901,BATCH-20260326120959
ORD-00009,Headset,Tablet,North,15,867.81,2024-07-13,completed,13017.15,2024-07,2026-03-26T12:09:59.830901,BATCH-20260326120959
ORD-00010,Webcam,Laptop,South,24,361.71,2024-12-09,completed,8681.04,2024-12,2026-03-26T12:09:59.830901,BATCH-20260326120959
ORD-00011,Monitor,Monitor,South,35,731.83,2024-03-24,completed,25614.05,2024-03,2026-03-26T12:09:59.830901,BATCH-20260326120959
ORD-00012,Headset,Keyboard,South,44,331.03,2024-01-29,completed,14565.32,2024-01,2026-03-26T12:09:59.830901,BATCH-20260326120959
ORD-00013,Laptop,Mouse,East,26,275.05,2024-04-18,cancelled,7151.3,2024-04,2026-03-26T12:09:59.830901,BATCH-20260326120959
